Dataset,Regularizer,C,PR_AUC_mean,PR_AUC_std
BEED,L2 (Ridge),0.004832930238571752,0.7559696272436538,0.01579454935034369
BEED,L2 (Ridge),0.012742749857031334,0.7609681918758581,0.01633868630608997
BEED,L2 (Ridge),0.03359818286283781,0.7635567319253175,0.016577334164125674
BEED,L2 (Ridge),0.08858667904100823,0.7647125473156234,0.016677644476676176
BEED,L2 (Ridge),0.23357214690901212,0.7652212909543414,0.01667092681773388
BEED,L2 (Ridge),0.615848211066026,0.7654174602052279,0.01672254886138466
BEED,L2 (Ridge),1.623776739188721,0.7655197327220084,0.016736595538215927
BEED,L2 (Ridge),4.281332398719396,0.7655627295718962,0.016733410509009786
BEED,L2 (Ridge),11.288378916846883,0.7655625752268641,0.01672743577493516
BEED,L2 (Ridge),29.763514416313132,0.7655688175550921,0.016732981937719618
BEED,L2 (Ridge),78.47599703514607,0.7655675232489215,0.01673023287169883
BEED,L2 (Ridge),206.913808111479,0.7655699281796784,0.01673174126407695
BEED,L2 (Ridge),545.5594781168514,0.7655715939455741,0.01673235810716502
BEED,L2 (Ridge),1438.44988828766,0.7655726898157027,0.016733309504680265
BEED,L2 (Ridge),3792.690190732246,0.7655727070413835,0.016733318162672844
BEED,L2 (Ridge),10000.0,0.7655725653496112,0.016733246947356933
BEED,Elastic Net,0.0001,0.75,0.0
BEED,Elastic Net,0.00026366508987303583,0.7439702368842294,0.012059526231541095
BEED,Elastic Net,0.0006951927961775605,0.7327609798180047,0.015347697858949702
BEED,Elastic Net,0.0018329807108324356,0.7370302970069915,0.013388043838831737
BEED,Elastic Net,0.004832930238571752,0.7396025339154224,0.012441543971786878
BEED,Elastic Net,0.012742749857031334,0.7444245352788779,0.013706539870565904
BEED,Elastic Net,0.03359818286283781,0.7562648402452464,0.01583080678951895
BEED,Elastic Net,0.08858667904100823,0.7619733407665098,0.016487886283814965
